p_prob;p_lie;p_error;s_prob;s_lie;s_error;pg;pm;pn
7.576971294115188e-06;True;IIXX;7.576971294115188e-06;True;IIZZ;0.006;0.006;0.1
7.576971294115188e-06;False;IIXX;7.576971294115188e-06;False;IIZZ;;;
7.576971294115188e-06;True;IIYY;7.576971294115188e-06;True;IIYY;;;
7.576971294115188e-06;False;IIYY;7.576971294115188e-06;False;IIYY;;;
1.5153942588230374e-05;True;IIXY;1.5153942588230374e-05;True;IIZY;;;
1.5153942588230374e-05;False;IIXY;1.5153942588230374e-05;False;IIZY;;;
3.36141824798374e-05;True;IIXZ;3.36141824798374e-05;True;IIZX;;;
3.36141824798374e-05;False;IIXZ;3.36141824798374e-05;False;IIZX;;;
3.36141824798374e-05;True;IIYZ;3.36141824798374e-05;True;IIYX;;;
3.36141824798374e-05;False;IIYZ;3.36141824798374e-05;False;IIYX;;;
0.00012686741692688095;True;IIZZ;0.00012686741692688095;True;IIXX;;;
0.00018154039707623387;False;IIZZ;0.00018154039707623387;False;IIXX;;;
0.003135764016662563;True;IIIX;0.003135764016662563;True;IIIZ;;;
0.003135764016662563;False;IIIX;0.003135764016662563;False;IIIZ;;;
0.003135764016662563;True;IIIY;0.003135764016662563;True;IIIY;;;
0.003135764016662563;False;IIIY;0.003135764016662563;False;IIIY;;;
0.006740514976291917;True;IIIZ;0.006740514976291917;True;IIIX;;;
0.006809365061663117;False;IIIZ;0.006809365061663117;False;IIIX;;;
0.06166975706262007;True;IIII;0.06166975706262007;True;IIII;;;
0.9117332641182793;False;IIII;0.9117332641182793;False;IIII;;;
